GAME_DATE,HOME_TEAM,AWAY_TEAM,H2H_GAMES,H2H_HOME_WINS,H2H_AVG_MARGIN
2018-10-16,Boston Celtics,Philadelphia 76ers,0,0,0.0
2018-10-16,Golden State Warriors,Oklahoma City Thunder,0,0,0.0
2018-10-17,Charlotte Hornets,Milwaukee Bucks,0,0,0.0
2018-10-17,Detroit Pistons,Brooklyn Nets,0,0,0.0
2018-10-17,Indiana Pacers,Memphis Grizzlies,0,0,0.0
2018-10-17,Orlando Magic,Miami Heat,0,0,0.0
2018-10-17,New York Knicks,Atlanta Hawks,0,0,0.0
2018-10-17,Toronto Raptors,Cleveland Cavaliers,0,0,0.0
2018-10-17,Houston Rockets,New Orleans Pelicans,0,0,0.0
2018-10-17,San Antonio Spurs,Minnesota Timberwolves,0,0,0.0
2018-10-17,Sacramento Kings,Utah Jazz,0,0,0.0
2018-10-17,LA Clippers,Denver Nuggets,0,0,0.0
2018-10-17,Phoenix Suns,Dallas Mavericks,0,0,0.0
2018-10-18,Portland Trail Blazers,Los Angeles Lakers,0,0,0.0
2018-10-18,Washington Wizards,Miami Heat,0,0,0.0
2018-10-18,Philadelphia 76ers,Chicago Bulls,0,0,0.0
2018-10-19,Orlando Magic,Charlotte Hornets,0,0,0.0
2018-10-19,Brooklyn Nets,New York Knicks,0,0,0.0
2018-10-19,Toronto Raptors,Boston Celtics,0,0,0.0
2018-10-19,Memphis Grizzlies,Atlanta Hawks,0,0,0.0
2018-10-19,Minnesota Timberwolves,Cleveland Cavaliers,0,0,0.0
2018-10-19,New Orleans Pelicans,Sacramento Kings,0,0,0.0
2018-10-19,Milwaukee Bucks,Indiana Pacers,0,0,0.0
2018-10-19,Utah Jazz,Golden State Warriors,0,0,0.0
2018-10-19,LA Clippers,Oklahoma City Thunder,0,0,0.0
2018-10-20,Los Angeles Lakers,Houston Rockets,0,0,0.0
2018-10-20,Portland Trail Blazers,San Antonio Spurs,0,0,0.0
2018-10-20,Denver Nuggets,Phoenix Suns,0,0,0.0
2018-10-20,Dallas Mavericks,Minnesota Timberwolves,0,0,0.0
2018-10-20,Chicago Bulls,Detroit Pistons,0,0,0.0
2018-10-20,New York Knicks,Boston Celtics,0,0,0.0
2018-10-20,Philadelphia 76ers,Orlando Magic,0,0,0.0
2018-10-20,Washington Wizards,Toronto Raptors,0,0,0.0
2018-10-20,Indiana Pacers,Brooklyn Nets,0,0,0.0
2018-10-20,Miami Heat,Charlotte Hornets,0,0,0.0
2018-10-21,Cleveland Cavaliers,Atlanta Hawks,0,0,0.0
2018-10-21,Oklahoma City Thunder,Sacramento Kings,0,0,0.0
2018-10-21,Denver Nuggets,Golden State Warriors,0,0,0.0
2018-10-21,LA Clippers,Houston Rockets,0,0,0.0
2018-10-22,Los Angeles Lakers,San Antonio Spurs,0,0,0.0
2018-10-22,Golden State Warriors,Phoenix Suns,0,0,0.0
2018-10-22,Portland Trail Blazers,Washington Wizards,0,0,0.0
2018-10-22,Utah Jazz,Memphis Grizzlies,0,0,0.0
2018-10-22,Dallas Mavericks,Chicago Bulls,0,0,0.0
2018-10-22,Milwaukee Bucks,New York Knicks,0,0,0.0
2018-10-22,Toronto Raptors,Charlotte Hornets,0,0,0.0
2018-10-22,Boston Celtics,Orlando Magic,0,0,0.0
2018-10-22,Minnesota Timberwolves,Indiana Pacers,0,0,0.0
2018-10-23,Detroit Pistons,Philadelphia 76ers,0,0,0.0
2018-10-23,New Orleans Pelicans,LA Clippers,0,0,0.0
2018-10-23,Denver Nuggets,Sacramento Kings,0,0,0.0
