GAME_ID_HOME,GAME_DATE_HOME,TEAM_NAME_HOME,TEAM_NAME_AWAY,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,HOME_WIN,POINT_DIFFERENTIAL,TOTAL_POINTS
0021800001,2018-10-16,Boston Celtics,Philadelphia 76ers,105,87,0.433,0.391,0.297,0.192,0.714,0.609,55,47,21,18,7,8,5,5,14,16,1,18,192
0021800002,2018-10-16,Golden State Warriors,Oklahoma City Thunder,108,100,0.442,0.363,0.269,0.27,0.944,0.649,58,45,28,21,7,12,7,6,21,14,1,8,208
0021800003,2018-10-17,Charlotte Hornets,Milwaukee Bucks,112,113,0.446,0.494,0.421,0.412,0.636,0.75,41,57,21,26,8,5,9,4,11,21,0,-1,225
0021800004,2018-10-17,Detroit Pistons,Brooklyn Nets,103,100,0.424,0.488,0.25,0.185,0.864,0.682,46,39,21,28,5,9,5,5,14,17,1,3,203
0021800005,2018-10-17,Indiana Pacers,Memphis Grizzlies,111,83,0.566,0.298,0.385,0.345,0.538,0.821,57,28,29,16,2,11,7,3,20,7,1,28,194
0021800006,2018-10-17,Orlando Magic,Miami Heat,104,101,0.415,0.392,0.28,0.273,0.613,0.727,51,52,20,16,7,4,7,5,12,16,1,3,205
0021800007,2018-10-17,New York Knicks,Atlanta Hawks,126,107,0.455,0.456,0.364,0.278,0.774,0.833,46,45,21,19,12,7,6,3,15,24,1,19,233
0021800008,2018-10-17,Toronto Raptors,Cleveland Cavaliers,116,104,0.489,0.4,0.424,0.368,0.6,0.744,43,49,21,17,6,4,7,0,9,16,1,12,220
0021800009,2018-10-17,Houston Rockets,New Orleans Pelicans,112,131,0.424,0.531,0.333,0.4,0.75,0.773,37,54,21,36,8,8,7,3,11,12,0,-19,243
0021800010,2018-10-17,San Antonio Spurs,Minnesota Timberwolves,112,108,0.43,0.429,0.44,0.316,0.724,0.889,52,46,22,20,3,9,4,2,12,11,1,4,220
0021800011,2018-10-17,Sacramento Kings,Utah Jazz,117,123,0.516,0.519,0.368,0.481,0.667,0.737,37,44,17,21,8,8,3,4,9,17,0,-6,240
0021800012,2018-10-17,LA Clippers,Denver Nuggets,98,107,0.398,0.379,0.286,0.333,0.833,0.786,47,56,21,20,3,6,9,9,12,10,0,-9,205
0021800013,2018-10-17,Phoenix Suns,Dallas Mavericks,121,100,0.543,0.432,0.559,0.303,0.875,0.7,44,38,35,28,5,7,2,5,11,9,1,21,221
