configuration,window_type,train_years,retrain_months,accuracy,mae,rmse,brier,games,retrains,avg_train_size
"Rolling 1yr, retrain 1mo",rolling,1.0,1,0.6346153846153846,10.559877563398166,13.34052184248313,0.2251853601846595,468,3,1187.1923076923076
"Rolling 1yr, retrain 3mo",rolling,1.0,3,0.6441441441441441,10.416371388492832,13.060572229906843,0.22212391338048249,222,1,1185.0
"Rolling 1yr, retrain 6mo",rolling,1.0,6,0.5907079646017699,10.684514448404611,13.436752898661293,0.23472167069333436,452,3,905.1858407079646
"Rolling 2yr, retrain 1mo",rolling,2.0,1,0.6159921026653504,11.37176410076934,14.346153349896365,0.23199063704613268,1013,5,1853.6979269496544
"Rolling 2yr, retrain 3mo",rolling,2.0,3,0.5974025974025974,11.61718635709685,14.702015363392663,0.23901561295793194,462,2,1826.1818181818182
"Rolling 2yr, retrain 6mo",rolling,2.0,6,0.5675675675675675,11.140567361531124,13.964931465447574,0.2467578435124847,222,1,1808.0
"Rolling 3yr, retrain 1mo",rolling,3.0,1,0.6586059743954481,11.364615283954294,14.589887809422965,0.220495497210107,703,4,3357.4807965860596
"Rolling 3yr, retrain 3mo",rolling,3.0,3,0.6591639871382636,11.61300016850246,14.964691294015608,0.22121798355340797,311,2,3353.144694533762
"Rolling 3yr, retrain 6mo",rolling,3.0,6,0.6666666666666666,10.984016134616082,14.25546996168713,0.2229011379938583,231,1,3348.0
"Rolling 4yr, retrain 1mo",rolling,4.0,1,0.6418128654970761,10.351352148097327,13.206108240604896,0.22723322512882785,684,4,4600.372807017544
"Rolling 4yr, retrain 3mo",rolling,4.0,3,0.636986301369863,10.531853357054194,13.524091936184286,0.2356535513260145,292,2,4599.63698630137
"Rolling 4yr, retrain 6mo",rolling,4.0,6,0.6216216216216216,10.193268084931846,12.875254615789913,0.23282605434786982,222,1,4597.0
"Rolling 5yr, retrain 1mo",rolling,5.0,1,0.6413333333333333,11.664374843545254,14.797607144730089,0.22235762060184697,750,4,5776.2
"Rolling 5yr, retrain 3mo",rolling,5.0,3,0.6676300578034682,11.670300597464307,14.901773691935764,0.21537355232988792,346,2,5771.635838150289
"Rolling 5yr, retrain 6mo",rolling,5.0,6,0.6666666666666666,11.480816158325798,14.999999166353513,0.2133561924176795,231,1,5761.0
"Expanding, retrain 1mo",expanding,,1,0.6169792694965449,11.376819631222986,14.351470341422559,0.23221742271284537,1013,5,2210.023692003949
"Expanding, retrain 3mo",expanding,,3,0.5952380952380952,11.627242465730612,14.707625371040937,0.23929236260728518,462,2,2139.4285714285716
"Expanding, retrain 6mo",expanding,,6,0.5675675675675675,11.140567361531124,13.964931465447574,0.2467578435124847,222,1,1808.0
